date,day,year,mo,da,temp,dewp,slp,stp,visib,wdsp,mxpsd,max,min,prcp,sndp,fog,total_crimes,alcohol,arson,assault_etc,disorderly_conduct,drugs,fraud_etc,gambling,kidnap,murders,negligent_deaths,sex_offenses,theft_etc,trespass,vandalism,weapon,cha,commercial_non_vehicular,commercial_vehicular,cta,gov_public_building,gov_public_outdoor,residential
2015-01-01,4,2015,01,01,22.3,7.3,1020.6,996.3,10.0,15.0,18.1,32.0,6.1,0.0,999.9,0,1235,1,1,238,3,43,218,,,,,258,225,19,93,23,8,118,2,16,28,223,769
2015-01-02,5,2015,01,02,28.4,17.4,1024.5,1000.5,10.0,5.1,15.0,36.0,17.1,0.0,999.9,0,674,,1,151,7,86,52,,,,,13,224,16,65,7,4,64,3,11,12,286,254
2015-01-03,6,2015,01,03,34.3,28.9,1017.5,993.4,4.9,4.9,8.9,37.0,19.9,0.08,999.9,0,648,5,,163,4,70,27,,,1,,18,214,20,70,5,5,76,2,7,14,260,253
2015-01-04,7,2015,01,04,30.6,27.5,1013.0,989.8,2.9,9.2,18.1,37.0,16.0,0.54,2.0,0,514,,2,145,4,66,19,,2,,,13,157,14,42,5,,71,2,6,9,211,205
2015-01-05,1,2015,01,05,4.5,-5.8,1036.3,1011.3,10.0,11.3,15.0,14.0,-0.9,0.03,1.2,0,523,,,125,6,43,42,,2,1,,7,202,15,35,6,2,65,1,4,23,164,225
2015-01-06,2,2015,01,06,9.2,1.6,1029.7,1004.8,6.7,8.0,15.9,12.0,-0.9,0.11,2.0,0,503,,2,99,3,57,42,,1,3,,12,185,16,37,2,3,86,1,5,21,158,206
2015-01-07,3,2015,01,07,5.4,-6.8,1035.8,1010.5,10.0,15.4,21.0,12.0,1.0,0.0,2.0,0,474,,,101,2,61,40,,,,,4,167,13,36,4,4,80,2,4,16,149,194
2015-01-08,4,2015,01,08,0.4,-7.8,1033.5,1005.9,8.2,13.2,22.0,14.0,-7.1,0.0,3.1,0,448,1,,94,2,47,28,,1,1,,3,166,12,49,6,2,64,2,6,12,152,180
2015-01-09,5,2015,01,09,10.3,0.7,1021.1,997.6,7.1,15.0,22.0,19.9,-7.1,0.05,3.1,0,590,,,128,10,72,34,,1,1,,7,200,22,43,5,5,95,,14,22,198,231
2015-01-10,6,2015,01,10,8.0,-1.7,1031.8,1006.6,10.0,11.6,15.9,21.0,0.0,0.0,2.0,0,647,1,1,153,5,78,31,,,1,,17,236,13,36,9,3,89,6,6,18,242,254
2015-01-11,7,2015,01,11,27.7,16.7,1026.4,1002.1,9.2,10.0,14.0,34.0,21.9,0.0,3.1,0,650,1,,165,7,69,22,,,,,16,226,23,57,9,1,95,,12,9,268,244
2015-01-12,1,2015,01,12,26.3,19.8,1032.2,1005.3,6.8,8.7,17.1,34.0,19.9,0.15,3.9,0,607,,1,126,4,65,37,,,,,7,232,23,57,1,7,84,1,9,43,220,207
2015-01-13,2,2015,01,13,19.3,10.8,1040.2,1015.3,8.3,9.1,15.0,30.0,17.1,0.03,3.1,0,612,,,139,4,77,40,,,2,,11,230,15,45,4,3,96,2,13,53,210,200
2015-01-14,3,2015,01,14,13.5,6.3,1030.9,1006.2,9.8,5.3,8.9,23.0,5.0,0.0,3.1,0,675,1,2,129,7,101,36,,1,1,,10,249,16,59,6,3,76,,14,36,240,271
2015-01-15,4,2015,01,15,23.5,15.9,1021.0,996.8,9.7,9.1,17.1,36.0,5.0,0.0,3.1,0,763,2,1,132,5,131,45,,,,,13,284,17,64,14,4,86,,12,55,257,306
2015-01-16,5,2015,01,16,29.3,23.2,1020.5,996.8,8.5,6.0,12.0,36.0,17.1,0.0,3.1,0,710,1,,156,8,79,43,2,2,1,,15,244,22,73,8,8,102,1,15,47,265,230
2015-01-17,6,2015,01,17,36.8,28.6,1010.6,987.4,8.3,12.1,19.0,44.1,21.9,0.0,1.2,0,741,1,,194,10,84,27,1,,2,,18,249,20,73,11,6,79,2,16,12,309,291
2015-01-18,7,2015,01,18,38.7,30.6,1008.8,985.4,10.0,10.9,14.0,44.1,30.0,0.0,999.9,0,698,1,,185,5,57,21,,1,1,,11,241,7,104,6,2,82,,7,9,320,256
2015-01-19,1,2015,01,19,34.0,28.6,1016.2,992.8,10.0,4.5,8.9,43.0,27.0,0.0,999.9,0,709,,,154,3,92,37,,,,,7,253,17,75,16,4,79,1,16,11,324,237
2015-01-20,2,2015,01,20,36.6,32.2,1012.8,989.8,6.7,4.3,9.9,43.0,27.0,0.0,999.9,0,793,1,,183,8,65,50,,2,1,,11,300,25,78,7,8,110,,11,43,290,287
2015-01-21,3,2015,01,21,34.2,30.0,1017.6,994.1,5.7,7.2,11.1,39.9,33.1,0.01,999.9,0,746,,2,168,7,66,53,,2,3,,18,262,23,79,10,5,108,4,19,52,278,247
2015-01-22,4,2015,01,22,32.2,23.8,1028.9,1005.0,9.8,4.8,8.0,36.0,30.0,0.0,999.9,0,752,,,166,6,92,48,,,,,13,273,14,67,10,8,86,2,10,55,266,287
2015-01-23,5,2015,01,23,31.7,24.3,1024.7,1001.1,8.2,10.2,14.0,34.0,30.0,0.0,999.9,0,800,1,,198,10,90,38,,1,2,,15,252,40,87,8,4,102,3,17,49,313,278
2015-01-24,6,2015,01,24,35.1,27.7,1008.6,985.1,9.7,8.5,14.0,45.0,30.0,0.0,999.9,0,756,1,2,167,8,83,33,1,1,1,,27,257,20,85,12,2,121,3,11,8,340,237
2015-01-25,7,2015,01,25,34.1,30.2,1007.8,984.6,6.4,10.3,20.0,37.0,28.4,0.0,1.2,0,646,,1,173,3,58,34,,,,,14,212,16,74,7,2,89,4,6,9,246,266
2015-01-26,1,2015,01,26,25.9,18.1,1015.5,991.6,9.0,7.3,15.0,37.9,21.0,0.06,1.2,0,656,1,,156,8,64,40,,,,,7,249,22,57,2,5,91,3,15,49,222,232
2015-01-27,2,2015,01,27,29.3,22.5,1019.7,994.7,5.8,6.1,11.1,33.1,21.0,0.04,1.2,0,675,,1,145,12,90,46,,2,2,,15,206,19,57,10,4,77,4,11,60,246,244
2015-01-28,3,2015,01,28,28.7,18.5,1024.7,1000.8,10.0,6.8,14.0,36.0,24.1,0.0,999.9,0,647,,,138,3,83,42,,1,,,19,227,23,54,6,3,84,3,12,43,241,232
2015-01-29,4,2015,01,29,36.1,26.1,1012.3,989.4,9.3,12.7,18.1,39.0,24.1,0.03,999.9,0,704,2,,165,7,94,44,,,3,,25,243,19,47,9,4,109,3,7,46,247,261
2015-01-30,5,2015,01,30,29.7,13.3,1030.9,1006.9,9.8,9.2,18.1,39.0,23.0,0.0,999.9,0,714,,1,156,4,101,48,1,1,2,,13,237,17,56,13,6,88,2,7,37,269,268
2015-01-31,6,2015,01,31,30.3,20.6,1026.6,1002.5,10.0,6.5,15.0,39.0,23.0,0.0,999.9,0,636,,1,167,5,75,27,,2,1,,18,194,19,70,10,4,82,,13,16,267,229
2015-02-01,7,2015,02,01,31.8,28.6,1016.6,992.3,1.4,11.2,21.0,39.0,23.0,0.25,13.0,1,562,,,131,,23,118,,,1,,23,159,6,49,1,2,54,4,5,18,131,281
2015-02-02,1,2015,02,02,18.1,11.5,1020.3,994.1,5.0,14.2,25.1,33.1,10.0,0.21,16.9,1,473,1,1,120,4,43,68,,,2,,10,133,9,38,3,3,63,1,11,11,152,205
2015-02-03,2,2015,02,03,16.7,10.0,1023.6,998.6,8.9,7.5,11.1,27.0,8.1,0.0,16.9,1,512,,,132,6,46,58,,,,,12,166,5,41,8,2,55,1,10,41,186,179
2015-02-04,3,2015,02,04,25.4,19.8,1019.8,995.7,4.5,6.4,14.0,30.0,8.1,0.05,16.1,0,577,1,,152,6,72,48,,1,1,,10,174,12,55,6,2,77,2,13,43,190,217
2015-02-05,4,2015,02,05,11.4,0.2,1032.0,1007.1,10.0,7.1,13.0,30.0,3.0,0.0,15.0,0,572,,1,144,6,71,44,,1,1,,13,174,14,46,4,3,66,,10,36,197,229
2015-02-06,5,2015,02,06,20.2,10.6,1024.2,999.8,9.8,9.4,15.0,32.0,3.0,0.0,14.2,0,696,3,2,155,8,103,48,1,,,,11,200,16,77,8,1,86,3,15,39,277,239
2015-02-07,6,2015,02,07,33.6,27.1,1012.6,989.0,9.6,7.2,11.1,43.0,15.1,0.0,11.0,0,679,1,1,162,10,92,43,,,,,27,168,24,86,7,3,81,5,6,12,302,237
2015-02-08,7,2015,02,08,38.5,34.5,1005.1,982.5,7.1,7.8,17.1,44.1,25.0,0.0,5.1,0,615,1,1,153,2,87,26,,,2,,24,178,8,75,6,1,73,2,15,6,259,233
2015-02-09,1,2015,02,09,29.3,24.6,1019.7,995.9,6.9,13.4,15.9,42.1,27.0,0.0,3.9,0,607,,,132,8,79,49,,,3,,9,196,13,54,11,4,74,1,9,45,241,202
2015-02-10,2,2015,02,10,28.4,19.1,1024.5,1000.7,9.6,7.1,13.0,33.1,25.0,0.0,3.9,0,629,,2,146,9,76,46,,,2,,22,179,22,64,8,6,90,1,9,53,229,207
2015-02-11,3,2015,02,11,32.6,24.3,1017.9,994.2,8.9,10.0,15.9,37.9,25.0,0.0,3.1,0,606,,1,140,5,86,40,,,,,10,195,27,52,1,5,82,3,11,49,218,216
2015-02-12,4,2015,02,12,18.3,4.6,1027.4,1002.9,9.4,13.8,20.0,37.9,10.9,0.0,3.1,0,611,1,,152,2,80,50,1,1,,,13,186,18,56,7,6,91,4,7,45,217,209
2015-02-13,5,2015,02,13,14.5,3.9,1027.7,1003.0,10.0,8.4,14.0,25.0,7.0,0.0,3.1,0,632,1,1,135,8,97,65,,,,,11,175,14,55,9,4,85,3,10,47,227,217
2015-02-14,6,2015,02,14,21.1,8.7,1017.6,993.3,9.2,15.9,28.0,28.9,7.0,0.0,3.1,0,597,,,156,4,59,25,,1,,,22,188,22,61,6,3,93,,9,12,226,224
2015-02-15,7,2015,02,15,7.3,-4.4,1035.1,1010.0,7.6,9.4,15.9,28.9,0.0,0.0,3.1,0,552,,,146,3,72,35,,,1,,17,156,14,46,4,6,75,1,8,13,191,235
2015-02-16,1,2015,02,16,12.8,-4.8,1026.6,1002.1,10.0,4.2,8.9,19.0,0.0,0.0,3.1,0,539,,1,109,3,77,39,,1,,,4,154,21,50,11,3,72,1,12,12,203,202
2015-02-17,2,2015,02,17,18.2,7.3,1016.3,991.8,8.7,9.1,15.9,21.9,8.1,0.0,3.1,0,597,,,154,2,68,44,,2,,,24,196,9,45,11,3,93,1,6,46,211,198
2015-02-18,3,2015,02,18,9.6,-2.8,1015.8,991.8,9.9,12.8,18.1,21.9,5.0,0.0,3.1,0,511,1,,116,5,55,49,,,,,2,171,18,35,6,6,66,2,8,36,160,208
2015-02-19,4,2015,02,19,1.3,-14.1,1029.4,1003.3,9.7,11.9,17.1,10.9,-5.1,0.0,3.1,0,463,,1,106,3,48,37,,,,,7,162,12,41,6,1,67,,2,14,176,183
2015-02-20,5,2015,02,20,7.0,-5.0,1027.6,1002.0,9.3,8.8,17.1,19.9,-5.1,0.0,3.1,0,651,4,,138,2,83,60,,,2,,18,216,21,55,1,8,94,3,9,42,213,247
2015-02-21,6,2015,02,21,23.4,13.5,1016.0,992.0,9.3,6.3,15.9,32.0,19.0,0.0,3.1,0,652,2,1,164,4,85,33,,2,1,,13,204,14,71,10,5,89,2,7,14,312,201
2015-02-22,7,2015,02,22,24.3,11.9,1029.0,1003.3,9.0,8.7,14.0,33.1,15.1,0.0,3.1,0,593,1,1,186,5,67,34,,1,1,,7,157,16,52,11,5,90,1,7,11,208,246
2015-02-23,1,2015,02,23,7.7,-9.3,1039.9,1014.8,10.0,9.8,15.0,30.0,0.0,0.0,3.1,0,572,,1,141,9,46,45,,1,,,8,203,19,47,7,3,76,3,9,41,207,203
2015-02-24,2,2015,02,24,13.9,2.1,1019.5,993.9,10.0,12.6,20.0,30.9,0.0,0.0,3.1,0,628,1,2,154,6,73,36,,,,,8,204,18,58,10,2,88,4,9,43,236,221
2015-02-25,3,2015,02,25,24.1,9.9,1014.2,990.4,8.9,7.9,14.0,32.0,6.1,0.0,3.1,0,572,,3,154,7,67,45,,2,3,,9,159,11,46,4,1,72,1,8,51,193,220
2015-02-26,4,2015,02,26,20.2,12.3,1023.0,998.0,3.1,11.5,17.1,28.0,16.0,0.06,7.1,1,518,,,118,4,75,52,,2,,,6,155,14,48,7,5,79,3,9,39,156,199
2015-02-27,5,2015,02,27,10.0,-3.5,1035.7,1010.7,10.0,6.7,9.9,21.9,0.0,0.0,5.9,0,638,1,,149,5,80,60,,1,,,4,204,19,46,5,4,77,1,17,57,233,216
2015-02-28,6,2015,02,28,11.0,-1.6,1040.8,1015.5,10.0,4.6,8.9,23.0,0.0,0.0,5.9,0,545,,,148,1,62,28,,1,,,9,162,22,55,9,3,82,1,4,18,204,212
2015-03-01,7,2015,03,01,22.0,15.9,1031.2,1006.5,7.3,5.1,12.0,27.0,19.0,0.0,5.9,0,759,2,,173,1,84,91,,1,,,24,206,13,73,8,1,82,2,11,13,253,350
2015-03-02,1,2015,03,02,23.8,12.4,1032.1,1007.6,10.0,6.6,12.0,34.0,16.0,0.01,5.1,0,658,,,147,3,97,48,,2,1,,10,225,15,56,9,6,79,,10,42,244,239
2015-03-03,2,2015,03,03,30.7,22.9,1018.9,992.4,6.5,10.6,15.0,37.0,16.0,0.04,3.9,0,636,,2,159,9,77,54,,1,1,,10,188,17,49,5,3,95,,7,36,206,258
2015-03-04,3,2015,03,04,26.6,14.8,1017.7,993.7,10.0,10.4,15.0,37.0,19.9,0.06,3.9,0,562,,1,159,6,71,46,,1,,,9,167,14,41,6,5,74,1,2,56,201,201
2015-03-05,4,2015,03,05,15.2,-2.2,1031.7,1007.1,10.0,8.9,12.0,33.1,9.0,0.0,3.9,0,612,1,1,154,9,79,41,,1,,,10,166,17,53,9,2,76,1,6,48,209,252
2015-03-06,5,2015,03,06,14.7,3.4,1032.2,1007.4,10.0,10.4,18.1,27.0,6.1,0.0,3.9,0,712,1,,154,9,95,69,,1,,,8,217,21,61,12,2,89,2,9,46,253,278
2015-03-07,6,2015,03,07,34.1,23.6,1019.9,996.1,10.0,10.6,15.9,46.0,25.0,0.0,2.0,0,697,,1,189,12,79,45,,1,3,,18,194,16,72,8,1,87,4,8,17,296,252
